Question,Mode,#Rec,PlanScore,PersonalScore,Lift,Recall,Latency
"What elective courses should I choose next semester to strengthen my AI foundation, considering the AI courses I have already taken?",full,7,0.8571428571428571,0.8571428571428571,0.0,0.2727272727272727,54.68s
"What elective courses should I choose next semester to strengthen my AI foundation, considering the AI courses I have already taken?",noTranscript,7,0.5714285714285714,0.7142857142857143,0.1428571428571429,0.18181818181818182,34.32s
"What elective courses should I choose next semester to strengthen my AI foundation, considering the AI courses I have already taken?",noPlan,0,0,0,0,0.0,26.47s
"What elective courses should I choose next semester to strengthen my AI foundation, considering the AI courses I have already taken?",question,0,0,0,0,0.0,31.99s
Which data-science-related electives would be most beneficial if I plan to work in quantitative finance?,full,7,0.8571428571428571,1.0,0.1428571428571429,0.2727272727272727,43.47s
Which data-science-related electives would be most beneficial if I plan to work in quantitative finance?,noTranscript,7,0.8571428571428571,0.8571428571428571,0.0,0.2727272727272727,39.66s
Which data-science-related electives would be most beneficial if I plan to work in quantitative finance?,noPlan,4,0.25,0.5,0.25,0.045454545454545456,30.01s
Which data-science-related electives would be most beneficial if I plan to work in quantitative finance?,question,0,0,0,0,0.0,14.05s
"If I want to pursue a master’s degree in Cybersecurity, what courses should I prioritize this year?",full,7,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.13636363636363635,46.46s
"If I want to pursue a master’s degree in Cybersecurity, what courses should I prioritize this year?",noTranscript,7,1.0,1.0,0.0,0.3181818181818182,32.77s
"If I want to pursue a master’s degree in Cybersecurity, what courses should I prioritize this year?",noPlan,5,0.2,0.4,0.2,0.045454545454545456,31.68s
"If I want to pursue a master’s degree in Cybersecurity, what courses should I prioritize this year?",question,0,0,0,0,0.0,15.72s
I’m targeting an HCI research internship; which undergraduate courses would make me more competitive?,full,7,0.5714285714285714,1.0,0.4285714285714286,0.18181818181818182,48.18s
I’m targeting an HCI research internship; which undergraduate courses would make me more competitive?,noTranscript,6,0.8333333333333334,1.0,0.16666666666666663,0.22727272727272727,34.30s
I’m targeting an HCI research internship; which undergraduate courses would make me more competitive?,noPlan,4,0.25,0.5,0.25,0.045454545454545456,22.96s
I’m targeting an HCI research internship; which undergraduate courses would make me more competitive?,question,0,0,0,0,0.0,25.27s
Which electives can best prepare me for a Ph.D. track in Machine Learning?,full,7,1.0,1.0,0.0,0.3181818181818182,46.91s
Which electives can best prepare me for a Ph.D. track in Machine Learning?,noTranscript,6,0.8333333333333334,1.0,0.16666666666666663,0.22727272727272727,33.60s
Which electives can best prepare me for a Ph.D. track in Machine Learning?,noPlan,0,0,0,0,0.0,27.07s
Which electives can best prepare me for a Ph.D. track in Machine Learning?,question,0,0,0,0,0.0,14.07s
"Given my current GPA and heavy workload, which relatively lighter courses could help me boost my average?",full,7,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.13636363636363635,43.21s
"Given my current GPA and heavy workload, which relatively lighter courses could help me boost my average?",noTranscript,6,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.045454545454545456,37.12s
"Given my current GPA and heavy workload, which relatively lighter courses could help me boost my average?",noPlan,0,0,0,0,0.0,27.91s
"Given my current GPA and heavy workload, which relatively lighter courses could help me boost my average?",question,0,0,0,0,0.0,36.24s
What combination of courses this semester would balance difficulty while still keeping me on track to graduate?,full,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.09090909090909091,46.20s
What combination of courses this semester would balance difficulty while still keeping me on track to graduate?,noTranscript,6,0.5,0.6666666666666666,0.16666666666666663,0.13636363636363635,33.91s
What combination of courses this semester would balance difficulty while still keeping me on track to graduate?,noPlan,1,0.0,1.0,1.0,0.0,29.51s
What combination of courses this semester would balance difficulty while still keeping me on track to graduate?,question,0,0,0,0,0.0,14.70s
I struggled with theory courses last term; which practical courses could help raise my GPA?,full,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.09090909090909091,49.42s
I struggled with theory courses last term; which practical courses could help raise my GPA?,noTranscript,6,0.3333333333333333,0.3333333333333333,0.0,0.09090909090909091,33.53s
I struggled with theory courses last term; which practical courses could help raise my GPA?,noPlan,0,0,0,0,0.0,21.16s
I struggled with theory courses last term; which practical courses could help raise my GPA?,question,0,0,0,0,0.0,19.34s
"I have mostly taken technical courses so far, and I want to work in product management for tech companies—what courses would give me relevant soft skills?",full,1,1.0,1.0,0.0,0.045454545454545456,43.09s
"I have mostly taken technical courses so far, and I want to work in product management for tech companies—what courses would give me relevant soft skills?",noTranscript,8,0.25,0.25,0.0,0.09090909090909091,34.72s
"I have mostly taken technical courses so far, and I want to work in product management for tech companies—what courses would give me relevant soft skills?",noPlan,9,0.0,0.2222222222222222,0.2222222222222222,0.0,44.89s
"I have mostly taken technical courses so far, and I want to work in product management for tech companies—what courses would give me relevant soft skills?",question,0,0,0,0,0.0,28.38s
Which courses align best with a future career in financial technology (FinTech)?,full,7,0.7142857142857143,0.8571428571428571,0.1428571428571428,0.22727272727272727,48.73s
Which courses align best with a future career in financial technology (FinTech)?,noTranscript,7,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.13636363636363635,32.78s
Which courses align best with a future career in financial technology (FinTech)?,noPlan,8,0.0,0.0,0.0,0.0,24.90s
Which courses align best with a future career in financial technology (FinTech)?,question,0,0,0,0,0.0,15.44s
"If I aim to become a full-stack web developer, which backend-focused courses should I take next semester, considering I have primarily completed front-end courses?",full,5,0.2,0.8,0.6000000000000001,0.045454545454545456,47.23s
"If I aim to become a full-stack web developer, which backend-focused courses should I take next semester, considering I have primarily completed front-end courses?",noTranscript,7,0.7142857142857143,0.8571428571428571,0.1428571428571428,0.22727272727272727,34.80s
"If I aim to become a full-stack web developer, which backend-focused courses should I take next semester, considering I have primarily completed front-end courses?",noPlan,3,0.0,0.3333333333333333,0.3333333333333333,0.0,25.86s
"If I aim to become a full-stack web developer, which backend-focused courses should I take next semester, considering I have primarily completed front-end courses?",question,0,0,0,0,0.0,22.88s
"Based on my transcript, which remaining general-education courses should I finish first?",full,5,0.6,0.8,0.20000000000000007,0.13636363636363635,41.85s
"Based on my transcript, which remaining general-education courses should I finish first?",noTranscript,7,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.13636363636363635,32.62s
"Based on my transcript, which remaining general-education courses should I finish first?",noPlan,0,0,0,0,0.0,22.55s
"Based on my transcript, which remaining general-education courses should I finish first?",question,0,0,0,0,0.0,6.58s
"Which major core courses do I still need to complete before senior year, based on what I have completed so far?",full,7,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.13636363636363635,44.89s
"Which major core courses do I still need to complete before senior year, based on what I have completed so far?",noTranscript,6,0.6666666666666666,0.6666666666666666,0.0,0.18181818181818182,32.43s
"Which major core courses do I still need to complete before senior year, based on what I have completed so far?",noPlan,0,0,0,0,0.0,21.16s
"Which major core courses do I still need to complete before senior year, based on what I have completed so far?",question,0,0,0,0,0.0,13.65s
What courses can help me meet the writing-intensive requirement most efficiently?,full,9,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.22727272727272727,55.02s
What courses can help me meet the writing-intensive requirement most efficiently?,noTranscript,4,0.0,0.0,0.0,0.0,31.16s
What courses can help me meet the writing-intensive requirement most efficiently?,noPlan,0,0,0,0,0.0,23.73s
What courses can help me meet the writing-intensive requirement most efficiently?,question,0,0,0,0,0.0,17.71s
"If I plan to take an industrial internship in the spring, which important courses can I shift to the summer term?",full,7,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.13636363636363635,49.43s
"If I plan to take an industrial internship in the spring, which important courses can I shift to the summer term?",noTranscript,5,0.4,0.6,0.19999999999999996,0.09090909090909091,31.50s
"If I plan to take an industrial internship in the spring, which important courses can I shift to the summer term?",noPlan,6,0.0,0.3333333333333333,0.3333333333333333,0.0,21.77s
"If I plan to take an industrial internship in the spring, which important courses can I shift to the summer term?",question,0,0,0,0,0.0,33.87s
"Given that some senior electives clash on Tuesday afternoons, and I need to enroll in those advanced electives, what alternative sections or courses could I take?",full,7,0.7142857142857143,1.0,0.2857142857142857,0.22727272727272727,45.08s
"Given that some senior electives clash on Tuesday afternoons, and I need to enroll in those advanced electives, what alternative sections or courses could I take?",noTranscript,6,0.6666666666666666,0.8333333333333334,0.16666666666666674,0.18181818181818182,33.94s
"Given that some senior electives clash on Tuesday afternoons, and I need to enroll in those advanced electives, what alternative sections or courses could I take?",noPlan,0,0,0,0,0.0,23.05s
"Given that some senior electives clash on Tuesday afternoons, and I need to enroll in those advanced electives, what alternative sections or courses could I take?",question,1,1.0,1.0,0.0,0.045454545454545456,20.95s
"Can you recommend courses that combine AI with the arts, considering my background?",full,4,0.25,1.0,0.75,0.045454545454545456,42.98s
"Can you recommend courses that combine AI with the arts, considering my background?",noTranscript,6,0.8333333333333334,0.8333333333333334,0.0,0.22727272727272727,36.57s
"Can you recommend courses that combine AI with the arts, considering my background?",noPlan,5,0.0,0.0,0.0,0.0,20.94s
"Can you recommend courses that combine AI with the arts, considering my background?",question,0,0,0,0,0.0,34.61s
Please review my current transcript and suggest areas where I need improvement.,full,8,0.5,0.75,0.25,0.18181818181818182,48.15s
Please review my current transcript and suggest areas where I need improvement.,noTranscript,8,0.625,0.75,0.125,0.22727272727272727,33.10s
Please review my current transcript and suggest areas where I need improvement.,noPlan,2,0.0,0.5,0.5,0.0,28.15s
Please review my current transcript and suggest areas where I need improvement.,question,0,0,0,0,0.0,11.80s
"Which interdisciplinary courses would let me apply my accounting knowledge to data analytics, given my accounting minor?",full,6,0.0,0.5,0.5,0.0,46.89s
"Which interdisciplinary courses would let me apply my accounting knowledge to data analytics, given my accounting minor?",noTranscript,6,0.6666666666666666,0.8333333333333334,0.16666666666666674,0.18181818181818182,32.90s
"Which interdisciplinary courses would let me apply my accounting knowledge to data analytics, given my accounting minor?",noPlan,1,0.0,0.0,0.0,0.0,21.97s
"Which interdisciplinary courses would let me apply my accounting knowledge to data analytics, given my accounting minor?",question,0,0,0,0,0.0,13.66s
"What capstone options would showcase my strengths while addressing my weaknesses, given my current academic performance?",full,7,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.13636363636363635,61.38s
"What capstone options would showcase my strengths while addressing my weaknesses, given my current academic performance?",noTranscript,6,0.8333333333333334,0.8333333333333334,0.0,0.22727272727272727,43.30s
"What capstone options would showcase my strengths while addressing my weaknesses, given my current academic performance?",noPlan,0,0,0,0,0.0,21.05s
"What capstone options would showcase my strengths while addressing my weaknesses, given my current academic performance?",question,0,0,0,0,0.0,47.80s
I enjoy collaborative projects—what project-heavy courses should I choose next?,full,8,0.25,0.5,0.25,0.09090909090909091,47.66s
I enjoy collaborative projects—what project-heavy courses should I choose next?,noTranscript,5,0.8,0.8,0.0,0.18181818181818182,32.82s
I enjoy collaborative projects—what project-heavy courses should I choose next?,noPlan,0,0,0,0,0.0,28.16s
I enjoy collaborative projects—what project-heavy courses should I choose next?,question,0,0,0,0,0.0,13.69s
Which online or hybrid courses fit my learning style and schedule?,full,8,0.5,0.75,0.25,0.18181818181818182,47.77s
Which online or hybrid courses fit my learning style and schedule?,noTranscript,6,0.5,0.6666666666666666,0.16666666666666663,0.13636363636363635,33.33s
Which online or hybrid courses fit my learning style and schedule?,noPlan,6,0.0,0.0,0.0,0.0,22.13s
Which online or hybrid courses fit my learning style and schedule?,question,0,0,0,0,0.0,28.37s
"If I retake a course I failed, what additional support courses could help ensure success?",full,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.09090909090909091,48.44s
"If I retake a course I failed, what additional support courses could help ensure success?",noTranscript,6,0.3333333333333333,0.3333333333333333,0.0,0.09090909090909091,32.34s
"If I retake a course I failed, what additional support courses could help ensure success?",noPlan,1,0.0,1.0,1.0,0.0,23.33s
"If I retake a course I failed, what additional support courses could help ensure success?",question,0,0,0,0,0.0,11.91s
I got C in Calculus II; what should I take next to strengthen my math foundation?,full,7,0.5714285714285714,0.5714285714285714,0.0,0.18181818181818182,43.91s
I got C in Calculus II; what should I take next to strengthen my math foundation?,noTranscript,5,0.8,1.0,0.19999999999999996,0.18181818181818182,37.89s
I got C in Calculus II; what should I take next to strengthen my math foundation?,noPlan,0,0,0,0,0.0,22.08s
I got C in Calculus II; what should I take next to strengthen my math foundation?,question,0,0,0,0,0.0,30.60s
"Given I have completed two AI electives, which new AI-related course would you suggest?",full,6,1.0,1.0,0.0,0.2727272727272727,50.33s
"Given I have completed two AI electives, which new AI-related course would you suggest?",noTranscript,6,1.0,1.0,0.0,0.2727272727272727,33.00s
"Given I have completed two AI electives, which new AI-related course would you suggest?",noPlan,1,0.0,0.0,0.0,0.0,21.55s
"Given I have completed two AI electives, which new AI-related course would you suggest?",question,0,0,0,0,0.0,14.84s
